Abacion magnum
Bombus patagiatus
Bombus rupestris
Bombus ruderatus
Bombus sylvestris
Bombus sonorus
Bombus subterraneus
Bombus sylvarum
Bombus terrestris
Bombina variegata
Bombus vestalis
Boneia bidens
Bonasa umbellus
Boops boops
Booneacris glacialis
Bordetella avium
Borrelia andersonii
Borrelia afzelii
Borrelia anserina
Boreophyllum birdiae
Borrelia bissettii
Borrelia burgdorferi
Bordetella bronchiseptica
Borrelia bavariensis
Borrelia crocidurae
Borrelia duttonii
Boreus elegans
Borrichia frutescens
Borrelia garinii
Borrelia hermsii
Borrelia japonica
Borago officinalis
Bordetella pertussis
Bordetella parapertussis
Bordetella petrii
Borikenophis portoricensis
Borrelia parkeri
Borrelia recurrentis
Boreogadus saida
Bornetella sphaerica
Borrelia turicatae
Borrelia valaisiana
Bostrychia calliptera
Bostrycapulus calyptraeformis
Bos gaurus
Bos indicus
Bos javanicus
Bostrychia moritziana
Bostrycapulus odites
Bos primigenius
Bostrychia radicans
Bos sauveli
Boswellia serrata
Boselaphus tragocamelus
Bothrochilus albertisii
Bothrops alternatus
Bothrops ammodytoides
Bothrocophias andianus
Bothrops asper
Bothrops atrox
Bothrops barnetti
Bothrops bilineatus
Botryococcus braunii
Bothrophthalmus brunneus
Bothrops brazili
Bothriocroton concolor
Bothrops cotiara
Bothrops diporus
Bothrops erythromelas
Botryotinia fuckeliana
Bothrops fonsecai
Bothrocophias hyoprora
Bothrops insularis
Bothriochloa ischaemum
Bothrops jararaca
Bothrops jararacussu
Bothriechis lateralis
Bothrops leucurus
Botaurus lentiginosus
Botrylloides leachii
Bothrophthalmus lineatus
Bothus lunatus
Bothrops lutzi
Botrychium lunaria
Bothrops marajoensis
Bothrops moojeni
Bothrops matogrossensis
Bothus myriaster
Bothriechis nigroviridis
Bothrops neuwiedi
Bothus ocellatus
Bothrops pauloensis
Bothrops pictus
Bothrops pirajai
Bothus pantherinus
Bothus podas
Bothrometopus parvulus
Botryosphaeria parva
Botrylloides pizoni
Bothus robinsi
Bothriechis schlegelii
Botaurus stellaris
Botryllus schlosseri
Botrypus strictus
Bolitoglossa subpalmata
Botrylloides violaceus
Boudemos ardabilia
Boulengerula boulengeri
Boulengerochromis microlepis
Boulengerula taitana
Bouvardia ternifolia
Bos taurus
Bovichtus variegatus
Bowenia serrulata
Bowiea volubilis
Brassia aurantiaca
Brachyglene albicephala
Brachychiton acerifolius
Brassicogethes aeneus
Branchiostegus argentatus
Brachypelma albiceps
Brachytarsomys albicauda
Brassia allenii
Brachyteles arachnoides
Branchiostegus albus
Brassia arcuigera
Brama brama
Branchiostoma belcheri
Branta bernicla
Brachyramphus brevirostris
Brachyuromys betsileoensis
Branta canadensis
Brachycaudus cardui
Brahmaea certhia
Brachyponera chinensis
Brassica carinata
Branchiostoma californiense
Brassica campestris
Brachylophosaurus canadensis
Bradysia coprophila
Brassica cretica
Brachytarsophrys carinense
Brachythemis contaminata
Brachyphylla cavernarum
Bradypodion damaranum
Brachyscome decipiens
Brachypodium distachyon
Bradyrhizobium diazoefficiens
Bradyrhizobium elkanii
Brachidontes exustus
Brachylophus fasciatus
Brachybacterium faecium
Branchiostoma floridae
Bradypodion gutturale
Brasiliscincus heathi
Brachycaudus helichrysi
Brachyspira hyodysenteriae
Brachyteles hypoxanthus
Brachylagus idahoensis
Brachyspira intermedia
Branchiostegus japonicus
Brachaluteres jacksonianus
Bradyrhizobium japonicum
Brassica juncea
Branchiostoma lanceolatum
Brachycybe lecontii
Branta leucopsis
Brachyspira murdochii
Brachyramphus marmoratus
Brassica napus
Brassica nigra
Brachyphylla nana
Brassavola nodosa
Brachyhypopomus occidentalis
Bradypodion occidentale
Brassica oleracea
Brassica oxyrrhina
Brachyspira pilosicoli
Brachidontes pharaonis
Brachionus plicatilis
Brachyhypopomus pinnicaudatus
Brachymeria phya
Brachypodium pinnatum
Brachyphylla pumila
Brachidontes puniceus
Brachychiton populneus
Brachyseps punctatus
Bradypodion pumilum
Brachidontes rodriguezii
Brachyuromys ramirohitra
Brassica rupestris
Branta sandvicensis
Brasenia schreberi
Branchipolynoe seepensis
Brachyopsis segaliensis
Brachyurophis semifasciatus
Brachynemurus sackeni
Brachypelma smithi
Branchipolynoe symmytilida
Brachypodium sylvaticum
Bradypodion taeniabronchum
Bradypodion transvaalense
Brassica tournefortii
Bradypus tridactylus
Brachaluteres ulvarum
Bradypus variegatus
Bradypodion ventrale
Brachylophus vitiensis
Brada villosa
Breviata anathema
Brettanomyces anomalus
Brevibacillus brevis
Brevicoryne brassicae
Brevibacillus choshinensis
Brettanomyces custersianus
Brevundimonas diminuta
Brevibacterium epidermidis
Brevibacterium helvolum
Brenthia hexaselena
Brevibacillus laterosporus
Bremia lactucae
Brevibacterium linens
Brexia madagascariensis
Brettanomyces naardenensis
Bregmaceros nectabanus
Brevibacillus parabrevis
Brevipalpus phoenicis
Brenthia pavonacella
Brevundimonas subvibrioides
Bretschneidera sinensis
Brevibacterium sterolicum
Brevundimonas vesicularis
Brimeura amethystina
Brighamia insignis
Briza maxima
Brindalus porcicollis
Brotheas amazonicus
Brookesia ambreensis
Brookesia antakarana
Brotia armata
Bromus arvensis
Brosme brosme
Brookesia brygooi
Bromus catharticus
Bromus commutatus
Brodiaea coronaria
Brownea coccinea
Bronchocela cristatella
Brookesia decaryi
Bromus erectus
Bromheadia finlaysoniana
Brodiaea filifolia
Browningia hertlingiana
Bromus hordeaceus
Bromus inermis
Brontispa longissima
Brocchinia micrantha
Brookesia minima
Brodiaea orcuttii
Broussonetia papyrifera
Brookesia perarmata
Brotia pagodula
Bromus pictus
Bromelia plumieri
Brotogeris pyrrhoptera
Brookesia peyrierasi
Brochymena quadripustulata
Broughtonia sanguinea
Bromus secalinus
Brookesia stumpffi
Bromus sterilis
Brookesia superciliaris
Bromus tectorum
Brochothrix thermosphacta
Brookesia therezieni
Brookesia tuberculata
Brotogeris versicolurus
Brucella abortus
Brugmansia arborea
Bruchus brachialis
Brucella canis
Bruchidius cisti
Bruguiera gymnorhiza
Brucella melitensis
Brugia malayi
Brucella microti
Brucella neotomae
Bruchidius nigricornis
Brucella ovis
Brugia pahangi
Brucella pinnipedialis
Bruchus pisorum
Bruchidius pusillus
Bruchus rufimanus
Brucella suis
Bruchidius villosus
Brycon argenteus
Bryonia dioica
Bryanthus gmelinii
Bryopsis hypnoides
Bryobium hyacinthoides
Bryopsis maxima
Bryoxiphium norvegicum
Bryopsis plumosa
Bryotropha similis
Bubo africanus
Bubo ascalaphus
Bubo bubo
Bubo bengalensis
Bubo blakistoni
Bubalus bubalis
Bubalus carabanensis
Bubalus depressicornis
Bubulcus ibis
Bubo lacteus
Bubo magellanicus
Bubalus mindorensis
Bubo nipalensis
Bubalus quarlesi
Bubo scandiacus
Bubo virginianus
Bucorvus abyssinicus
Bucephala albeola
Buceros bicornis
Bucephala clangula
Bucephala islandica
Buchanania obovata
Buceros rhinoceros
Bucegia romanica
Buccinum undatum
Buddleja asiatica
Buddleja davidii
Buddleja saligna
Budorcas taxicolor
Buergeria buergeri
Bufo bankorensis
Bufo bufo
Bufo gargarizans
Bufo japonicus
Bufoceratias thele
Bufo tibetanus
Bufotes viridis
Bugeranus carunculatus
Bugula cucullata
Bugula flabellata
Bugula neritina
Buhoma procterae
Bulnesia arborea
Bullimus bagobus
Bulbophyllum biflorum
Bullimus gamay
Bulla gouldiana
Bulbophyllum lobbii
Bullimus luzonicus
Bulbophyllum macranthum
Bulimina marginata
Bullia rhodostoma
Bulinus truncatus
Bumilleriopsis filiformis
Bumba pulcherrimaklaasi
Bungarus candidus
Bungarus caeruleus
Bunodosoma caissarum
Bunodosoma cangicum
Bunocephalus coracoideus
Bunodosoma capense
Bunodosoma cavernatum
Bungarus fasciatus
Bunodosoma granuliferum
Bunolagus monticularis
Bungarus multicinctus
Bunopus tuberculatus
Bupleurum americanum
Bupleurum angulosum
Bupleurum chinense
Bupleurum falcatum
Bupleurum fruticosum
Bupleurum rotundifolium
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia gladioli
Burkholderia glumae
Burhinus grallarius
Bursera inaguensis
Burkholderia lata
Bursatella leachii
Burkholderia multivorans
Burkholderia mallei
Bursaphelenchus mucronatus
Burmoniscus ocellatus
Burhinus oedicnemus
Burmoniscus okinawaensis
Burkholderia pseudomallei
Burramys parvus
Burkholderia plantarii
Burkholderia pyrrocinia
Burhinus senegalensis
Burkholderia thailandensis
Burchardia umbellata
Burkholderia vietnamiensis
Bursaphelenchus xylophilus
Busycotypus canaliculatus
Busycon carica
Busycon perversum
Busycon sinistrum
Buteo albigula
Buteogallus anthracinus
Buteo albonotatus
Buthacus arenicola
Buteo brachyurus
Buteo buteo
Butia capitata
Butyrivibrio fibrisolvens
Buteo galapagoensis
Buteo hemilasius
Buteo jamaicensis
Buteo lagopus
Buteo lineatus
Buthacus macrocentrus
Butyribacterium methylotrophicum
Butea monosperma
Buteo nitidus
Buthus occitanus
Buthus paris
Butyrivibrio proteoclasticus
Buteo platypterus
Buteo regalis
Buteo ridgwayi
Butorides striata
Buteo swainsoni
Butomus umbellatus
Butorides virescens
Buxbaumia aphylla
Buxus microphylla
Buxus sempervirens
Byblis liniflora
Bycanistes brevis
Bycanistes bucinator
Byctiscus populi
Byrsonima crassifolia
Byssochlamys spectabilis
Bythograea thermydron
Cabomba caroliniana
Cabassous unicinctus
Cacatua alba
Cacajao calvus
Cactoblastis cactorum
Cacicus cela
Cacopsylla coccinea
Cacatua ducorpsii
Cacatua galerita
Cacatua goffiniana
Cacatua haematuropygia
Cacajao melanocephalus
Cacatua moluccensis
Cacomantis merulinus
Cacatua ophthalmica
Cacicus solitarius
Cacatua sulphurea
Cacicus uropygialis
Cadra cautella
Cadlina laevis
Caenorhabditis brenneri
Caenorhabditis briggsae
Caesio caerulaurea
Caenurgina crassiuscula
Caesio cuning
Caenorhabditis elegans
Caerostris extrusa
Caenolestes fuliginosus
Caecilia gracilis
Caenorhabditis japonica
Caesalpinia pulcherrima
Caenorhabditis remanei
Caedibacter taeniospiralis
Caecilia tentaculata
Caecilia volcani
Cafeteria roenbergensis
Caiman crocodilus
Cairina moschata
Cajanus cajan
Cakile maritima
Calidris alba
Calochortus albus
Calidris acuminata
Calliphora augur
Calopteryx aequabilis
Calliphona alluaudi
Calathus angularis
Callogorgia americana
Calliphora albifrontalis
Callizzia amorata
Calcarisporium arbuscula
Calidris alpina
Callicarpa americana
Calypte anna
Caledoniscincus austrocaledonicus
Calochortus apiculatus
Caldilinea aerophila
Callinectes arcuatus
Callithrix aurita
Calloplesiops altivelis
Calidris bairdii
Callophyllis beringensis
Caldicellulosiruptor bescii
Callinectes bellicosus
Calliophis bivirgatus
Calosilpha brunnicollis
Calyptorhynchus banksii
Calumma boettgeri
Calumma brevicorne
Calypso bulbosa
Calathus brevis
Calycophyllum candidissimum
Calathea crotalifera
Callipepla californica
Calomera cardoni
Callaeas cinereus
Calliandra californica
Callorhinchus capensis
Callistephus chinensis
Calathus cinctus
Calliope calliope
Calomys callosus
Caligus clemensi
Callosciurus caniceps
Calypte costae
Calodendrum capense
Calotomus carolinus
Callosobruchus chinensis
Calidris canutus
Calumma cucullatum
Callorhinchus callorynchus
Callinectes danae
Calicophoron daubneyi
Calleida decora
Calopteryx dimidiata
Calocedrus decurrens
Callicarpa dichotoma
Callimedusa duellmani
Calonectris diomedea
Callisaurus draconoides
Calliphora dubia
Caldisericum exile
Calliandra eriophylla
Calamagrostis epigeios
Callosciurus erythraeus
Calpodes ethlius
Calidris fuscicollis
Calyptophilus frugivorus
Calomys fecundus
Calypogeia fissa
Calidris ferruginea
Calanus finmarchicus
Calycanthus floridus
Calocedrus formosana
Calocitta formosa
Calumma furcifer
Calathus fuscipes
Caladenia flava
Calumma gastrotaenia
Calumia godeffroyi
Callithrix geoffroyi
Calotropis gigantea
Calanus glacialis
Callipepla gambelii
Callimico goeldii
Calyptocephalella gayi
Caldicellulosiruptor hydrothermalis
Calidris himantopus
Callitriche heterophylla
Calanus helgolandicus
Calumma hilleniusi
Calliphora hilli
Calomys hummelincki
Calanus hyperboreus
Calosoma inquisitor
Calophyllum inophyllum
Caluromysiops irrupta
Calidris subruficollis
Calliptamus italicus
Callirhoe involucrata
Callithrix jacchus
Callicarpa japonica
Caldicellulosiruptor kronotskyensis
Caldicellulosiruptor kristjanssonii
Callithrix kuhlii
Calonectria kyotensis
Calcarius lapponicus
Calomys laucha
Caldisphaera lagunensis
Calonectris leucomelas
Calathus leechi
Calyptommatus leiolepis
Calomera lunulata
Caluromys lanatus
Calomera littoralis
Calomys lepidus
Callospermophilus lateralis
Calostemma luteum
Calochortus luteus
Calidris maritima
Calidris minutilla
Callistoctopus minor
Calopteryx maculata
Calea megacephala
Calocaris macandreae
Callospermophilus madrensis
Callytron malabaricum
Callorhinchus milii
Calodesma maculifrons
Calathus mollis
Calliphora maritima
Calidris melanotos
Calicophoron microbothrioides
Callistoctopus macropus
Caldivirga maquilingensis
Calidris mauri
Callosobruchus maculatus
Calumma malthe
Calomys musculinus
Calamospiza melanocorys
Calumma nasutum
Caloenas nicobarica
Caldococcus noboribetus
Callosciurus notatus
Calditerrivibrio nitroreducens
Calcinus obscurus
Calycanthus occidentalis
Calendula officinalis
Calliphora ochracea
Caldesia oligococca
Caldicellulosiruptor obsidiansis
Calcarius ornatus
Calumma oshaughnessyi
Caldicellulosiruptor owensensis
Calliactis parasitica
Calcarius pictus
Calotropis procera
Caluromys philander
Calyptranthes pallens
Calla palustris
Calidris pugnax
Calligrapha philadelphica
Callithrix penicillata
Callyspongia plicifera
Caltha palustris
Calamaria pavimentata
Callistemon polandii
Calumma parsonii
Callosobruchus phaseoli
Calidris ptilocnemis
Calidris pusilla
Callosciurus prevostii
Callithrix pygmaea
Calvia quattuordecimguttata
Callophrys rubi
Callisia repens
Calloselasma rhodostoma
Calabaria reinhardtii
Caligus rogercresseyi
Calathus ruficollis
Caldiarchaeum subterraneum
Caldicellulosiruptor saccharolyticus
Calosoma scrutator
Calopteryx splendens
Calystegia sepium
Callicoma serratifolia
Calliphora stygia
Calyptrosphaera sphaeroidea
Callinectes sapidus
Callianassa subterranea
Calyptommatus sinebrachiatus
Calystegia soldanella
Callophrys spinetorum
Calliandra surinamensis
Calomys sorellus
Callitriche stagnalis
Callipepla squamata
Calanus sinicus
Callospermophilus saturatus
Calosoma sycophanta
Calochortus splendens
Calliarthron tuberculosum
Calomys tener
Calyptra thalictri
Calanthe tricarinata
Caldalkalibacillus thermarum
Calopogon tuberosus
Callorhinus ursinus
Calamus usitatus
Calyptocarpus vialis
Calephelis virginiensis
Calotes versicolor
Calanthe vestita
Calocera viscosa
Calopteryx virgo
Calliphora vicina
Callophyllis violacea
Calomys venustus
Calliphora vomitoria
Calyptomena viridis
Callyspongia vaginalis
Calidris virgata
Calluna vulgaris
Calochortus weedii
Camptotheca acuminata
Camissonia arenaria
Camponotus atriceps
Camelus bactrianus
Camissonia boothii
Campylorhynchus brunneicapillus
Campylobacter concisus
Campylobacter curvus
Cambarellus chapalanus
Camaena cicatricosa
Campylobacter coli
Camellia crassicolumna
Campylopterus curvipennis
Camelus dromedarius
Campylocentrum fasciola
Campylobacter fetus
Campephaga flava
Camponotus floridanus
Camelus ferus
Campsis grandiflora
Campephilus guatemalensis
Cambarus hamulatus
Campylobacter hominis
Camelops hesternus
Camellia hiemalis
Cambarus hubrichti
Campylobacter hyointestinalis
Camptostoma imberbe
Campephilus imperialis
Camellia irrawadiensis
Campylobacter jejuni
Campylobacter lari
Camassia leichtlinii
Cambarus maculatus
Camelina microcarpa
Campanula medium
Campylocentrum micranthum
Campylocentrum pachyrrhizum
Camnula pellucida
Campephilus principalis
Camellia ptilophylla
Campaea perlata
Cambarellus patzcuarensis
Camassia quamash
Campsis radicans
Campylobacter rectus
Camelina sativa
Cambarellus shufeldtii
Camellia sinensis
Camassia scilloides
Cambarellus schmitti
Camellia sasanqua
Campylostelium saxicola
Camellia taliensis
Campanula trachelium
Campylobacter upsaliensis
Canis adustus
Candida albicans
Candida apicola
Candida auris
Candoia aspera
Canis aureus
Cancer borealis
Canavalia boliviana
Canavalia bonariensis
Candida boidinii
Canavalia brasiliensis
Cantua buxifolia
Candoia carinata
Cantharellus cibarius
Canthigaster coronata
Canavalia cathartica
Candida dubliniensis
Canavalia ensiformis
Candida glabrata
Canna generalis
Canavalia gladiata
Canavalia grandiflora
Candida humilis
Cancer irroratus
Cancellaria jayana
Canis latrans
Canavalia lineata
Canis lupus
Candida maltosa
Canthidermis maculata
Canis mesomelas
Candida norvegensis
Candida orthopsilosis
Cananga odorata
Candida oleophila
Candida parapsilosis
Cancer pagurus
Cancer productus
Canis rufus
Canavalia rosea
Cantharidus roseus
Cannabis sativa
Canis simensis
Canalohypopterygium tamariscinum
Candida tenuis
Candida tropicalis
Candida tsukubaensis
Canthigaster valentini
Canella winterana
Capsicum annuum
Capsicum baccatum
Capsella bursa-pastoris
Capreolus capreolus
Capnocytophaga canimorsus
Capsicum chinense
Capricornis crispus
Capra caucasica
Capra cylindricornis
Capra falconeri
Capparidastrum frondosum
Capsicum frutescens
Capnocytophaga gingivalis
Capnia gracilaria
Capra hircus
Capra ibex
Capparis masaikai
Capitulum mitella
Caperea marginata
Capra nubiana
Capsaspora owczarzaki
Capnocytophaga ochracea
Capromys pilorides
Capreolus pygargus
Capensibufo rosei
Capnoides sempervirens
Capra sibirica
Capparis spinosa
Capnocytophaga sputigena
Capricornis sumatraensis
Capricornis swinhoei
Capitella teleta
Caquetaia kraussii
Carales astur
Caragana arborescens
Caracal caracal
Carcinus aestuarii
Carex atrofusca
Cardamine angustata
Carcharhinus altimus
Carlia ailanpalai
Carybdea alata
Carangoides armatus
Cardamine amara
Carabus auronitens
Carabus arvensis
Carcharhinus acronotus
Caridina acutirostris
Carassius auratus
Carassius carassius
Carcharhinus amblyrhynchoides
Carangoides bartholomaei
Carcharhinus brachyurus
Carpinus betulus
Carcharhinus brevipinna
Cardamine bellidifolia
Carukia barnesi
Carollia brevicauda
Cardamine bulbosa
Carex brevicaulis
Cardamine breweri
Carpiodes carpio
Carios capensis
Carpiodes cyprinus
Cardisoma carnifex
Carum carvi
Carabus cancellatus
Cardinalis cardinalis
Carollia castanea
Carteria cerasiformis
Carpenteria californica
Carcharodon carcharias
Carabus coriaceus
Carduus carlinoides
Carpinus cordata
Carpobrotus chilensis
Cardamine californica
Cardellina canadensis
Carpinus caroliniana
Carex cephalophora
Cardioderma cor
Caretta caretta
Caranx crysos
Cardamine concatenata
Caranx caballus
Carabus convexus
Carassius cuvieri
Cardamine clematitis
Carangoides chrysophrys
Carphephorus corymbosus
Cardamine diphylla
Carex dimorpholepis
Carex dioica
Caripeta divisata
Carnobacterium divergens
Caridina ensifera
Carangoides equula
Carpodacus erythrinus
Carcharhinus falciformis
Cardamine flexuosa
Carpocoris fuscispinus
Carlia fusca
Carassius gibelio
Carex geophila
Carcinops gilensis
Carabus glabratus
Carex globosa
Carabus granulatus
Carapa guianensis
Cardiobacterium hominis
Caranx hippos
Cardamine hirsuta
Carabus hummeli
Carboxydothermus hydrogenoformans
Cariama cristata
Caranx ignobilis
Carya illinoinensis
Carettochelys insculpta
Carex kiotensis
Carex laxiflora
Carpoglyphus lactis
Carcharhinus leucas
Carassius langsdorfii
Carcharhinus limbatus
Carcharhinus longimanus
Carabus lopatini
Caranx latus
Carphodactylus laevis
Carcinus maenas
Carcharhinus macloti
Cardamine macrophylla
Carpocoris mediterraneus
Caryota mitis
Carnobacterium maltaromaticum
Caranx melampygus
Carios mexicanus
Carausius morosus
Carcharhinus melanopterus
Carangoides malabaricus
Carex metallica
Caracanthus maculatus
Cardamine maxima
Cartodere nodifer
Carabus nemoralis
Carex nigra
Carabus nitens
Cardamine nipponica
Carduus nutans
Carcharhinus obscurus
Carex oligocarpa
Carabus opaculus
Carpinus orientalis
Carangoides otrynter
Carex oxyandra
Carica papaya
Cardamine pentaphyllos
Cartonema philydroides
Cardamine pensylvanica
Caracara plancus
Cardellina pusilla
Carex phacota
Carpocoris purpureipennis
Carcharhinus plumbeus
Carcinops pumilio
Carcharhinus porosus
Carabus problematicus
Carollia perspicillata
Cardamine pratensis
Carpodacus pulcherrimus
Carex pensylvanica
Carduus pycnocephalus
Carcharhinus perezii
Carybdea rastonii
Caranx ruber
Carijoa riisei
Carpococcyx renauldi
Cardellina rubrifrons
Caranx rhonchus
Carex rossii
Carlia rhomboidalis
Carcinoscorpius rotundicauda
Carsonella ruddii
Carlia rubrigularis
Carpodacus roseus
Carex rostrata
Carposina sasakii
Caridina spinata
Cardiopharynx schoutedeni
Carcharhinus sorrah
Caranx sexfasciatus
Carlito syrichta
Carex shimidzensis
Carex scirpoidea
Cardinalis sinuatus
Caridina spongicola
Carpodacus sipahi
Carex serpenticola
Caryedon serratus
Carollia subrufa
Carabus sylvestris
Carcharias taurus
Caranx tille
Carex thornei
Carthamus tinctorius
Carcharhinus tilstoni
Carex tonsa
Caridina typus
Carex umbellata
Caranx vinctus
Carex vulpinoidea
Carabus violaceus
Carlina vulgaris
Cardamine waldsteinii
Carex xerantica
Caridina zebra
Cassiopea andromeda
Casuarius bennetti
Casuarius casuarius
Castanopsis chinensis
Castor canadensis
Castanea crenata
Castellaniella defragrans
Casarea dussumieri
Casimiroa edulis
Casuarina equisetifolia
Castor fiber
Cassiopea frondosa
Cassia fistula
Casuarina glauca
Cassia leiandra
Castilleja linariifolia
Cassiope lycopodioides
Cassiope mertensiana
Castrica phalaenoides
Cassida rubiginosa
Castanea sativa
Castilleja sulphurea
Cassiopea xamachana
Catenulispora acidiphila
Catocala andromedae
Catharacta antarctica
Cathartes aura
Catopuma badia
Catharus bicknelli
Catostomus bernardini
Catalpa bignonioides
Cataglyphis bombycinus
Catharopeza bishopi
Catocala butleri
Catharomnion ciliatum
Catostomus clarkii
Catostomus commersonii
Cattleya dowiana
Catasetum expansum
Catharus frantzii
Catharus fuscescens
Cattleya guttata
Catharus guttatus
Catacanthus incarnatus
Cattleya lueddemanniana
Catharacta maccormicki
Catherpes mexicanus
Catharus minimus
Catostylus mosaicus
Catenibacterium mitsuokai
Catocala nupta
Catostomus plebeius
Catomerus polymerus
Catharanthus roseus
Cataetyx rubrirostris
Catalpa speciosa
Catharacta skua
Catesbaea spinosa
Catocala ultronia
Catharus ustulatus
Catreus wallichii
Causus defilippii
Caulanthus flavescens
Caulastraea furcata
Caulophryne jordani
Caulanthus lasiophyllus
Caulophryne pelagica
Caulerpa racemosa
Causus rhombeatus
Caulobacter segnis
Caulerpa taxifolia
Caulophyllum thalictroides
Caulobacter vibrioides
Cavia aperea
Cavia cutleri
Cavenderia fasciculata
Cavia porcellus
Ceanothus crassifolius
Ceanothus thyrsiflorus
Ceanothus tomentosus
Ceanothus verrucosus
Cebus albifrons
Cebus capucinus
Cebus kaapori
Cebus olivaceus
Cedrus atlantica
Cedrus deodara
Ceiba acuminata
Ceiba pentandra
Cellulophaga algicola
Celastrina argiolus
Celosia argentea
Cellulosimicrobium cellulans
Celeus elegans
Celithemis elisa
Celestus enneagrammus
Cellana exarata
Cellulomonas fimi
Cellana flava
Cellulomonas flavigena
Celeus flavus
Cellulomonas gilvus
Celeus grammicus
Cellana grata
Celastrina hersilia
Cellvibrio japonicus
Celastrina ladon
Cellulophaga lytica
Cellulosilyticum lentocellum
Celastrina neglecta
Cellana ornata
Celastrus orbiculatus
Celtis philippensis
Cellana radians
Celastrus scandens
Cellulomonas uda
Celestus warreni
Cemophora coccinea
Cenchrus americanus
Centropomus armatus
Centropyge aurantia
Centruroides baergi
Centaurea benedicta
Centropyge bicolor
Centropyge bispinosa
Centaurea calcitrapa
Cenchrus ciliaris
Centropus cupreicaudus
Centaurea cyanus
Centroberyx druzhinini
Centropyge eibli
Centruroides elegans
Centropomus ensiferus
Centaurium erythraea
Centromochlus existimatus
Centruroides exilicauda
Centropyge flavissima
Centropyge ferrugata
Centropyge flavicauda
Centruroides gracilis
Centruroides infamatus
Centruroides limpidus
Centruroides limbatus
Centropyge loriculus
Centruroides margaritatus
Centropomus medius
Centrolobium microchaete
Centropyge multifasciata
Cenchritis muricatus
Centropyge multispinis
Centaurea nigra
Centruroides noxius
Centropyge nox
Centruroides ornatus
Centropyge potteri
Centaurium pulchellum
Centranthus ruber
Centruroides sculpturatus
Centurio senex
Centropus sinensis
Centrochelys sulcata
Cenarchaeum symbiosum
Centropristis striata
Centaurea stoebe
Centruroides suffusus
Centruroides tecomanus
Centropyge tibicen
Centrolobium tomentosum
Centropages typicus
Centrocercus urophasianus
Centropus viridis
Centropyge vrolikii
Centruroides vittatus
Cephalophus adersi
Cephalopholis argus
Cephalopachus bancanus
Cephalopholis boenak
Cephalophus callipygus
Cephalota circumdata
Cephalorhynchus commersonii
Cephus cinctus
Cepphus columba
Cepphus carbo
Cephalophus dorsalis
Cephalorhynchus eutropia
Cephalotus follicularis
Cephalotaxus fortunei
Cephalopholis fulva
Cepphus grylle
Cephalorhynchus heavisidii
Cephalorhynchus hectori
Cephalophus harveyi
Cephonodes hylas
Cephalophus jentinki
Cephalophus leucogaster
Cephalopholis miniata
Cephalophus natalensis
Cepaea nemoralis
Cephalophus nigrifrons
Cephalophus niger
Cephalanthus occidentalis
Cephalophus ogilbyi
Cephalotaxus oliveri
Cephalophus rufilatus
Cephalophus rubidus
Cephalophus silvicultor
Cephalopholis sonnerati
Cephalophus spadix
Cephalotaxus wilsoniana
Cephalopholis urodeta
Cephalophus weynsi
Cephalophus zebra
Cercocebus agilis
Certhia americana
Ceraclea annulicornis
Cercopithecus ascanius
Cercocebus atys
Ceroctena amynta
Cercaria batillariae
Cerataulina bicornis
Cercocarpus betuloides
Cercospora beticola
Ceratitis capitata
Cercartetus concinnus
Cerastes cerastes
Cercocebus chrysogaster
Cercis canadensis
Ceratitis cosyra
Cercopithecus cephus
Cerma cerintha
Ceratomia catalpae
Cercartetus caudatus
Ceratogyrus darlingi
Ceratophyllum demersum
Cercopithecus diana
Ceratophysella denticulata
Cerastoderma edule
Ceratiola ericoides
Cervus elaphus
Cercopithecus erythrogaster
Ceraclea excisa
Certhia familiaris
Ceratitis fasciventris
Cercocebus galeritus
Cerastoderma glaucum
Ceratodalia gueneata
Cerastium glomeratum
Cerrophidion godmani
Ceratopetalum gummiferum
Cercopithecus hamlyni
Ceratozamia hildae
Cercidiphyllum japonicum
Ceramium japonicum
Ceracris kiangsu
Ceratozamia kuesteriana
Cerebratulus lacteus
Cercocarpus ledifolius
Ceratiosicyos laevis
Cercopithecus lomamiensis
Cercartetus lepidus
Cerebratulus marginatus
Ceratozamia mexicana
Cercopithecus mitis
Cerianthus membranaceus
Cerorhinca monocerata
Cercopithecus mona
Ceratozamia miqueliana
Ceratogyrus marshalli
Cercospora nicotianae
Cercopithecus neglectus
Cervus nippon
Cereopsis novaehollandiae
Cercopithecus nictitans
Cercartetus nanus
Cercyonis oetus
Certhidea olivacea
Ceratophrys ornata
Cercyonis pegala
Cercospora piaropi
Cercopithecus petaurista
Ceratodon purpureus
Cerithidea rhizophorarum
Ceratopteris richardii
Ceratitis rosa
Cerberus rynchops
Ceriporiopsis subvermispora
Cerrophidion sasai
Ceratophyllum submersum
Cercaria shikokuensis
Ceratotherium simum
Ceratonia siliqua
Cerdocyon thous
Ceratoserolis trilobitoides
Cercocebus torquatus
Cerrena unicolor
Cerastes vipera
Cercopis vulnerata
Cercopithecus wolfi
Cestrum elegans
Cestrum nocturnum
Cestum veneris
Cetonia aurata
Cetoscarus bicolor
Cetostoma regani
Ceratias uranoscopus
Ceutorhynchus contractus
Ceutorhynchus erysimi
Ceyx erithaca
Ceyx lepidus
Chamaeleo arabicus
Chaetodipus arenarius
